"distance","avg_fare"
"0.0","27.228101748578723"
"0.1","21.7197963955185"
"0.2","9.221606750927052"
"0.3","6.995817549668747"
"0.4","6.808104693783087"
"0.5","7.1415275735503645"
"0.6","7.67301103179652"
"0.7","8.291974690709516"
"0.8","8.889880442661488"
"0.9","9.54652474201101"
"1.0","10.16255495458258"
"1.1","10.784892851745369"
"1.2","11.487526101478343"
"1.3","12.102613856529485"
"1.4","12.696271454728556"
"1.5","13.302071969077849"
"1.6","13.880792171931192"
"1.7","14.490878406063933"
"1.8","15.067338971523466"
"1.9","15.664701521561918"
"2.0","16.25309855750852"
"2.1","16.806293094028202"
"2.2","17.331207894389696"
"2.3","17.84703228463713"
"2.4","18.43167314109708"
"2.5","18.992515064429615"
"2.6","19.506362325227816"
"2.7","20.05299882491249"
"2.8","20.616401348917332"
"2.9","20.991541173570646"
"3.0","21.534534203655976"
"3.1","21.843010743592348"
"3.2","22.37176137202279"
"3.3","22.745778044315745"
"3.4","23.07372415889784"
"3.5","23.574600235051502"
"3.6","23.956944278681505"
"3.7","24.33538711358839"
"3.8","24.676416802918254"
"3.9","25.003992728547434"
"4.0","25.284980404666825"
"4.1","25.732775187020675"
"4.2","26.141556779358883"
"4.3","26.44647570937266"
"4.4","26.760084896238176"
"4.5","27.04318667359574"
"4.6","27.49236109422525"
"4.7","27.659697610751923"
"4.8","27.943645294387665"
"4.9","28.336546281434174"
"5.0","28.58871443478283"
"5.1","28.999724486116317"
"5.2","29.24484509717987"
"5.3","29.472637405171216"
"5.4","29.746185575299744"
"5.5","29.984558043117854"
"5.6","30.498275621456784"
"5.7","30.661151743300177"
"5.8","30.85354781964643"
"5.9","30.879523452860344"
"6.0","31.224201893976478"
"6.1","31.3404871031747"
"6.2","31.699319033736018"
"6.3","32.14861793740821"
"6.4","32.1819333761784"
"6.5","32.492513570400085"
"6.6","32.79449983159322"
"6.7","32.969878995433824"
"6.8","33.591054802592915"
"6.9","33.51409475465313"
"7.0","33.92081894425258"
"7.1","34.21577723847237"
"7.2","34.34304184965127"
"7.3","34.54820736955359"
"7.4","34.75216586703224"
"7.5","35.05985812614137"
"7.6","35.2801704138622"
"7.7","35.59492604408355"
"7.8","35.72252848378616"
"7.9","35.9777513820409"
"8.0","35.96286072587781"
"8.1","36.33857477662225"
"8.2","36.553408923575304"
"8.3","37.102633457249006"
"8.4","36.909202813599066"
"8.5","37.35786511965191"
"8.6","37.614724500071866"
"8.7","38.05938181275199"
"8.8","38.0540203784571"
"8.9","38.34797820644967"
"9.0","39.07046789667901"
"9.1","39.27187732065942"
"9.2","39.31385781415799"
"9.3","39.51578031022473"
"9.4","39.9019228413962"
"9.5","39.864010004841056"
"9.6","40.849769758327916"
"9.7","40.86226910693104"
"9.8","41.23253226902173"
"9.9","40.885637655417405"
"10.0","41.883439059158924"
"10.1","41.7874182886522"
"10.2","42.14425385934819"
"10.3","42.46145132743365"
"10.4","42.99789277582282"
"10.5","42.94006257822286"
"10.6","43.091650343821655"
"10.7","43.65412394115026"
"10.8","43.8428361249434"
"10.9","43.72623640319079"
"11.0","43.996024335733836"
"11.1","44.35099776063703"
"11.2","44.77923322683703"
"11.3","44.94490909090911"
"11.4","45.30848275862074"
"11.5","45.86270087976544"
"11.6","45.92283731916163"
"11.7","45.615454014598676"
"11.8","46.20656481756161"
"11.9","46.76628034962782"
"12.0","47.3756341463415"
"12.1","48.21215408202376"
"12.2","48.633500823723246"
"12.3","48.01818723404257"
"12.4","48.526242774566455"
"12.5","48.81466542750935"
"12.6","49.22249366447033"
"12.7","50.09322112894874"
"12.8","50.802261096605754"
"12.9","50.60218733080669"
"13.0","49.77938562808559"
"13.1","50.743954520244046"
"13.2","51.09532121212125"
"13.3","51.48899386503067"
"13.4","51.585913580246945"
"13.5","52.28018776499089"
"13.6","52.18300628930818"
"13.7","53.61247081712066"
"13.8","53.25152114597545"
"13.9","53.62723675385651"
"14.0","54.64575736806028"
"14.1","53.59027702702702"
"14.2","53.314691689008086"
"14.3","54.284993215739476"
"14.4","54.554273504273525"
"14.5","55.22524216524221"
"14.6","55.15420094403238"
"14.7","55.98071932299015"
"14.8","55.780794747753966"
"14.9","57.030611814346"
"15.0","57.249431592861846"
"15.1","57.865692625775324"
"15.2","58.06277476255087"
"15.3","59.039914163090174"
"15.4","58.08847074468083"
"15.5","58.92816862474087"
"15.6","59.89935462408519"
"15.7","61.46065679330328"
"15.8","60.51385350318475"
"15.9","61.11286132241077"
"16.0","63.08726237905524"
"16.1","63.48897829539438"
"16.2","63.831956305859016"
"16.3","63.35810653753033"
"16.4","64.21589164785556"
"16.5","64.31857561793043"
"16.6","66.48055027711793"
"16.7","65.33810720887242"
"16.8","65.68472911569377"
"16.9","65.36727569331157"
"17.0","66.49304334268788"
"17.1","65.53547278808149"
"17.2","66.39836010912396"
"17.3","66.38080250426864"
"17.4","67.05621982391365"
"17.5","66.49629127857749"
"17.6","66.17445179063367"
"17.7","67.17746036494165"
"17.8","68.22629824019758"
"17.9","67.22048596438277"
"18.0","67.55978983688829"
"18.1","66.95934080421885"
"18.2","67.37676901106748"
"18.3","68.17476958525349"
"18.4","68.70922632794459"
"18.5","67.69407009159697"
"18.6","67.51872026251021"
"18.7","67.64674789915965"
"18.8","67.76612244897956"
"18.9","68.03826417004046"
"19.0","68.48479561316051"
"19.1","68.36624101713656"
"19.2","67.06275939427923"
"19.3","67.84059719683121"
"19.4","68.88916615194573"
"19.5","68.42430396772025"
"19.6","69.37740713765479"
"19.7","68.22411677753144"
"19.8","69.35688289806237"
"19.9","70.00708760852407"
"20.0","68.2334670008354"
"20.1","69.25432385874252"
"20.2","69.93827648114902"
"20.3","70.7251914098973"
"20.4","68.91604065827687"
"20.5","69.35046092184369"
"20.6","70.67695043103447"
"20.7","70.26001161440188"
"20.8","70.3208851674641"
"20.9","70.46090216010167"
"21.0","69.62574585635356"
"21.1","70.769390625"
"21.2","70.72607655502395"
"21.3","70.40320882852292"
"21.4","71.11841796875"
"21.5","72.13955035971222"
"21.6","71.4646896551724"
"21.7","70.2957314148681"
"21.8","72.09659846547314"
"21.9","71.16791979949875"
"22.0","72.49658823529411"
"22.1","74.62209439528024"
"22.2","71.39813056379822"
"22.3","73.4919097222222"
"22.4","74.08336956521737"
"22.5","76.51289473684209"
"22.6","70.70857142857143"
"22.7","70.94411985018728"
"22.8","76.67124999999997"
"22.9","76.35325791855203"
"23.0","77.63091346153848"
"23.1","76.13645502645501"
"23.2","73.25347058823527"
"23.3","76.29272727272728"
"23.4","78.3975824175824"
"23.5","77.91402116402116"
"23.6","80.4008988764045"
"23.7","80.95282722513089"
"23.8","80.2721081081081"
"23.9","76.20282208588957"
"24.0","80.51218749999998"
"24.1","77.74657303370786"
"24.2","79.67696629213484"
"24.3","73.90227586206898"
"24.4","85.11345911949685"
"24.5","81.67416666666671"
"24.6","83.91819548872179"
"24.7","88.41638157894738"
"24.8","84.11664705882355"
"24.9","82.14924999999998"
"25.0","75.75818181818181"
"25.1","85.72738255033553"
"25.2","83.72379518072287"
"25.3","80.0808609271523"
"25.4","82.03877192982456"
"25.5","89.58893258426966"
"25.6","82.47067010309276"
"25.7","90.15619883040932"
"25.8","84.44130681818181"
"25.9","88.87444444444442"
"26.0","83.43396984924624"
"26.1","91.69521327014219"
"26.2","86.02119402985076"
"26.3","92.06425837320575"
"26.4","87.16061320754719"
"26.5","89.37404371584695"
"26.6","92.68218579234973"
"26.7","92.54134078212292"
"26.8","89.94777777777779"
"26.9","86.51087209302324"
"27.0","96.54698412698413"
"27.1","91.02005780346818"
"27.2","93.39733333333334"
"27.3","87.25773255813952"
"27.4","88.3147770700637"
"27.5","89.05958904109589"
"27.6","85.92916666666667"
"27.7","94.8812213740458"
"27.8","77.97229007633587"
"27.9","87.10515384615384"
"28.0","90.91416000000001"
"28.1","85.8812925170068"
"28.2","90.0854347826087"
"28.3","83.92699115044248"
"28.4","85.99078431372548"
"28.5","98.05230769230769"
"28.6","86.13743119266054"
"28.7","92.82344086021506"
"28.8","96.79289156626506"
"28.9","96.19223404255318"
"29.0","93.57513888888889"
"29.1","86.12791666666666"
"29.2","100.48415384615383"
"29.3","93.22782608695654"
"29.4","96.0315254237288"
"29.5","91.77553191489363"
"29.6","108.08875"
"29.7","88.37019607843136"
"29.8","97.8542"
"29.9","89.67416666666666"
"30.0","94.50833333333333"
"30.1","112.01660377358492"
"30.2","100.96945945945946"
"30.3","107.4434"
"30.4","97.32861111111112"
"30.5","115.98040816326528"
"30.6","94.6882"
"30.7","110.46533333333332"
"30.8","112.59714285714287"
"30.9","112.3497142857143"
"31.0","101.42500000000001"
"31.1","108.68657142857143"
"31.2","118.64421052631577"
"31.3","97.6851724137931"
"31.4","118.73428571428573"
"31.5","138.098125"
"31.6","99.12954545454545"
"31.7","112.73939393939395"
"31.8","113.84750000000001"
"31.9","108.37135135135135"
"32.0","115.84589743589743"
"32.1","112.6619047619048"
"32.2","108.09260869565217"
"32.3","127.13942857142858"
"32.4","120.38818181818182"
"32.5","127.18857142857142"
"32.6","131.359"
"32.7","119.395"
"32.8","106.7984"
"32.9","93.98739130434782"
"33.0","141.33944444444444"
"33.1","126.23416666666667"
"33.2","114.5221875"
"33.3","158.35363636363635"
"33.4","115.53925925925924"
"33.5","97.56916666666666"
"33.6","125.88000000000001"
"33.7","95.75444444444445"
"33.8","135.37999999999997"
"33.9","136.5670588235294"
"34.0","114.82666666666667"
"34.1","99.47782608695653"
"34.2","140.4346153846154"
"34.3","128.53533333333334"
"34.4","138.4125"
"34.5","152.21347826086955"
"34.6","162.4490476190476"
"34.7","158.09375"
"34.8","156.14714285714288"
"34.9","112.95588235294117"
"35.0","123.13380952380955"
"35.1","164.13625000000002"
"35.2","145.62499999999997"
"35.3","152.2111111111111"
"35.4","147.22"
"35.5","157.23777777777775"
"35.6","134.42666666666668"
"35.7","156.6595"
"35.8","142.6989655172414"
"35.9","131.93290322580643"
"36.0","148.29625000000001"
"36.1","137.5482608695652"
"36.2","141.72636363636366"
"36.3","136.24684210526317"
"36.4","146.15566666666666"
"36.5","126.7296153846154"
"36.6","134.59142857142857"
"36.7","100.3575"
"36.8","164.92631578947368"
"36.9","155.13666666666666"
"37.0","154.1182608695652"
"37.1","159.13666666666668"
"37.2","176.11"
"37.3","170.1981818181818"
"37.4","130.9764705882353"
"37.5","185.02666666666664"
"37.6","152.64999999999998"
"37.7","145.2076923076923"
"37.8","156.73529411764704"
"37.9","113.35294117647058"
"38.0","109.01533333333333"
"38.1","194.4636363636364"
"38.2","118.85714285714286"
"38.3","166.54642857142858"
"38.4","161.1153333333333"
"38.5","102.1675"
"38.6","171.58363636363637"
"38.7","144.95999999999998"
"38.8","147.45666666666665"
"38.9","173.53333333333333"
"39.0","163.49454545454546"
"39.1","177.8353846153846"
"39.2","168.14999999999998"
"39.3","160.4770588235294"
"39.4","182.76166666666668"
"39.5","167.29285714285714"
"39.6","131.7035"
"39.7","170.94"
"39.8","112.73666666666666"
"39.9","201.84375"
"40.0","175.9790909090909"
"40.1","128.23076923076923"
"40.2","231.542"
"40.3","158.031"
"40.4","122.1225"
"40.5","148.50222222222223"
"40.6","198.95999999999998"
"40.7","199.84875"
"40.8","106.256875"
"40.9","94.83625"
"41.0","120.17142857142858"
"41.1","170.650625"
"41.2","157.53666666666666"
"41.3","208.725"
"41.4","70.85799999999999"
"41.5","116.58571428571429"
"41.6","90.02142857142857"
"41.7","187.52750000000003"
"41.8","217.21250000000003"
"41.9","190.41666666666666"
"42.0","211.65714285714287"
"42.1","109.77666666666669"
"42.2","207.83125"
"42.3","206.35500000000002"
"42.4","207.83571428571426"
"42.5","212.73250000000002"
"42.6","182.74499999999998"
"42.7","151.19222222222223"
"42.8","182.57999999999998"
"42.9","143.18599999999998"
"43.0","211.55"
"43.1","167.48"
"43.2","164.57"
"43.3","181.98749999999998"
"43.4","184.4090909090909"
"43.5","135.005"
"43.6","231.7"
"43.7","128.2577777777778"
"43.8","146.92285714285714"
"43.9","128.03454545454545"
"44.0","187.88714285714286"
"44.1","114.55499999999999"
"44.2","211.2625"
"44.3","207.8875"
"44.4","233.2733333333333"
"44.5","250.0"
"44.6","184.4416666666667"
"44.7","246.25"
"44.8","203.7125"
"44.9","209.98142857142858"
"45.0","200.25666666666666"
"45.1","239.075"
"45.2","192.85625000000002"
"45.3","125.51500000000001"
"45.4","0.0"
"45.5","128.11999999999998"
"45.6","156.11"
"45.7","208.38571428571427"
"45.8","127.19571428571429"
"45.9","206.57777777777778"
"46.0","79.15875"
"46.1","140.5"
"46.2","174.1"
"46.3","275.45"
"46.4","143.67999999999998"
"46.5","95.54"
"46.6","223.96125"
"46.7","177.95"
